run_id,variant,start_time_iso,end_time_iso,duration_seconds,turns,input_tokens,output_tokens,cache_read_tokens,cache_creation_tokens,total_tokens,cost_usd,build_success,notes
8,react,2026-01-16T15:21:33.339204Z,2026-01-16T15:22:29.419678Z,56,4,26054,5094,0,0,31148,0.7729,True,
3,react,2026-01-16T15:21:33.261195Z,2026-01-16T15:22:30.086127Z,56,4,25775,4954,0,0,30729,0.7582,True,
2,react,2026-01-16T15:21:33.259850Z,2026-01-16T15:22:30.261695Z,57,4,26038,5087,0,0,31125,0.7721,True,
4,react,2026-01-16T15:21:33.283557Z,2026-01-16T15:22:30.633932Z,57,4,26302,5127,0,0,31429,0.7791,True,
9,react,2026-01-16T15:21:33.340465Z,2026-01-16T15:22:30.887109Z,57,4,26155,5120,0,0,31275,0.7763,True,
8,vanilla,2026-01-16T15:21:33.343558Z,2026-01-16T15:22:31.237506Z,57,4,31324,5748,0,0,37072,0.901,True,
6,react,2026-01-16T15:21:33.348486Z,2026-01-16T15:22:31.308279Z,57,4,26869,5323,0,0,32192,0.8023,True,
7,vanilla,2026-01-16T15:21:33.305105Z,2026-01-16T15:22:31.961131Z,58,4,31395,5769,0,0,37164,0.9036,True,
1,react,2026-01-16T15:21:33.259991Z,2026-01-16T15:22:31.673350Z,58,4,26094,5107,0,0,31201,0.7744,True,
10,react,2026-01-16T15:21:33.295792Z,2026-01-16T15:22:32.393131Z,59,4,27299,5505,0,0,32804,0.8224,True,
5,react,2026-01-16T15:21:33.282213Z,2026-01-16T15:22:32.547453Z,59,4,26757,5348,0,0,32105,0.8025,True,
7,react,2026-01-16T15:21:33.329009Z,2026-01-16T15:22:34.839396Z,61,4,27970,5735,0,0,33705,0.8497,True,
2,vanilla,2026-01-16T15:21:33.274868Z,2026-01-16T15:22:35.149139Z,61,4,31975,5965,0,0,37940,0.927,True,
6,vanilla,2026-01-16T15:21:33.324586Z,2026-01-16T15:22:35.208382Z,61,4,32458,6125,0,0,38583,0.9462,True,
3,vanilla,2026-01-16T15:21:33.285799Z,2026-01-16T15:22:36.477043Z,63,4,33256,6394,0,0,39650,0.9784,True,
10,vanilla,2026-01-16T15:21:33.303353Z,2026-01-16T15:22:36.472818Z,63,4,32337,6083,0,0,38420,0.9413,True,
9,vanilla,2026-01-16T15:21:33.287749Z,2026-01-16T15:22:37.164175Z,63,4,33360,6431,0,0,39791,0.9827,True,
5,vanilla,2026-01-16T15:21:33.315781Z,2026-01-16T15:22:39.161450Z,65,4,33580,6576,0,0,40156,0.9969,True,
1,vanilla,2026-01-16T15:21:33.315875Z,2026-01-16T15:22:40.217181Z,66,4,34434,6781,0,0,41215,1.0251,True,
4,vanilla,2026-01-16T15:21:33.315142Z,2026-01-16T15:22:46.965933Z,73,6,53929,6936,0,0,60865,1.3291,True,
